state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Tamil Nadu,TN,Guindy National Park & Snake Park,National Park / Zoo / Snake Park,nan,9 am – 6 pm (closed Tuesdays),"₹20 adults, ₹5 children, camera charges extra",Nov–Feb,Saidapet / Guindy,Guindy Bus Stand,Chennai Airport,Guindy Metro Station,"City location, good roads, walkways","Interpretation centre, naturalists sometimes available",Paid parking near entry,"Cafes, restrooms, museum",https://www.chennaimetrorail.org/guindy-national-park,https://en.wikipedia.org/wiki/Guindy_National_Park,"Only national park inside a metro city; houses blackbuck, spotted deer, snakes, birds.",tamil_nadu_tourist_places.csv
Telangana,TS,Charminar,Historical Monument / Landmark,nan,9:30 AM – 5:30 PM (Daily),"₹5 (Indians), ₹100 (Foreigners)",October – March,Hyderabad Deccan (Nampally),Afzalgunj Bus Stand,Rajiv Gandhi International Airport (Hyderabad),MGBS Metro Station,Crowded Old City area; steps inside tower; not fully wheelchair accessible,Heritage walks and local guides available in multiple languages,Paid parking nearby; charges ₹20–50,"Laad Bazaar, restaurants, shops, restrooms", (covered under Telangana Tourism / ASI),https://en.wikipedia.org/wiki/Charminar,"Icon of Hyderabad, built in 1591, surrounded by lively bazaars.",telangana_tourist_places.csv
Telangana,TS,Golconda Fort,Fort / Historical Monument,nan,9:00 AM – 5:30 PM (Daily),"₹25 (Indians), ₹300 (Foreigners); Sound & Light Show extra (~₹140–200)",October – February,Hyderabad Deccan,Golconda Bus Stand,Rajiv Gandhi International Airport,Raidurg Metro,Moderate climb; not wheelchair friendly; uneven terrain,ASI guides available; light & sound show in English/Telugu/Hindi,Paid parking outside fort – ₹30–50,"Cafes, food stalls, souvenir shops, restrooms",ASI – Golconda Fort,https://en.wikipedia.org/wiki/Golconda_Fort,Famous for acoustic system; Qutb Shahi dynasty capital.,telangana_tourist_places.csv
Telangana,TS,Ramoji Film City,Theme Park / Film Studio Complex,nan,9:00 AM – 5:30 PM (Daily),"₹1150 (General), ₹2349 (Premium); kids discounted tickets",October – March,Secunderabad,Ramoji Film City Bus Stop,Rajiv Gandhi International Airport,LB Nagar Metro,Wheelchair friendly in most zones; large campus with shuttle buses,"Included in ticket; English, Hindi, Telugu commentary available",Large parking facility – charges ₹50–100,"Restaurants, resorts, shopping areas, entertainment shows",ramojifilmcity.com,https://en.wikipedia.org/wiki/Ramoji_Film_City,World’s largest film studio complex (2000 acres); family favourite.,telangana_tourist_places.csv
Telangana,TS,Birla Mandir,"Temple (Hindu, Lord Venkateswara)",nan,"7:00 AM – 12:00 PM, 3:00 PM – 9:00 PM",Free,Evenings (for lighting & city view),Hyderabad Deccan,Lakdi-ka-pul Bus Stop,Hyderabad International Airport,Lakdi-ka-pul Metro,Steps involved; limited wheelchair access,No official tours; local volunteers explain temple significance,Paid parking nearby – ₹20–40,"Restaurants, shops, Hussain Sagar lake nearby", (Telangana Tourism mentions),https://en.wikipedia.org/wiki/Birla_Mandir_Hyderabad,Built of white marble; panoramic views of Hyderabad city.,telangana_tourist_places.csv
Telangana,TS,Hussain Sagar Lake & Buddha Statue,Lake / Monument / Boating Attraction,nan,Boating: 8:00 AM – 10:00 PM,"₹55–110 (boating tickets, varies by type)",October – March evenings,Hyderabad Deccan,Tank Bund Bus Stop,Rajiv Gandhi International Airport,Rasoolpura Metro,Wheelchair access at lakeside; boating not fully accessible,Boating staff guide during rides,Available near Necklace Road & Lumbini Park – ₹30–50,"Parks, restaurants, street food, shopping areas",Telangana Tourism – Hussain Sagar,https://en.wikipedia.org/wiki/Hussain_Sagar,World’s tallest monolithic Buddha statue; Necklace Road nightlife hub.,telangana_tourist_places.csv
Telangana,TS,Warangal Fort,Historical Fort / Archaeological Site,nan,9:00 AM – 8:00 PM (Daily),"₹15 (Indians), ₹200 (Foreigners)",October – March,Warangal Railway Station,Warangal Bus Station,Rajiv Gandhi International Airport (Hyderabad),No metro available,"Large stone ruins, uneven terrain; not wheelchair friendly","Local guides available in Telugu, Hindi, English",Available near entrance – ₹20–30,"Food stalls, restrooms, local shops",Telangana Tourism – Warangal Fort,https://en.wikipedia.org/wiki/Warangal_Fort,Capital of Kakatiya Dynasty; famous for carved gateways (Kakatiya Toranas).,telangana_tourist_places.csv
Telangana,TS,Ramappa Temple,Temple / Unesco World Heritage Site,nan,6:00 AM – 6:00 PM,"Free (Photography ₹25, Videography ₹130)",October – February,Warangal Railway Station,Mulugu Bus Station,Rajiv Gandhi International Airport,No metro available,Steps and uneven paths; limited wheelchair access,ASI-certified guides available,Paid parking – ₹20–30,"Small eateries, resorts near Ramappa Lake",ASI – Ramappa Temple,https://en.wikipedia.org/wiki/Ramappa_Temple,"Built in 13th century, floating bricks architecture; inscribed UNESCO World Heritage in 2021.",telangana_tourist_places.csv
Telangana,TS,Thousand Pillar Temple,Temple / Historical Monument,nan,6:00 AM – 8:00 PM,Free,October – March,Warangal Railway Station,Hanamkonda Bus Stand,Rajiv Gandhi International Airport,No metro available,Steps and old stone flooring; not fully wheelchair friendly,Local guides explain Chalukya-style architecture,Paid parking available – ₹20,"Shops, cafes, restrooms nearby", (covered under Telangana Tourism & ASI),https://en.wikipedia.org/wiki/Thousand_Pillar_Temple,Built by Rudra Deva (1163 AD); star-shaped shrines with intricate carvings.,telangana_tourist_places.csv
Telangana,TS,Kuntala Waterfall,Waterfall / Natural Attraction,nan,8:00 AM – 6:00 PM,₹30 per person; parking extra,July – October,Adilabad Railway Station,Neredigonda Bus Stand,Rajiv Gandhi International Airport,No metro available,Trek of ~400 steps; not wheelchair accessible,Not formal; local villagers guide during treks,Paid parking – ₹30–50,"Limited shops, forest rest houses nearby",Telangana Tourism – Kuntala Waterfalls,https://en.wikipedia.org/wiki/Kuntala_Waterfall,Highest waterfall in Telangana (147 ft); flows from River Kadam.,telangana_tourist_places.csv
Telangana,TS,Bogatha Waterfall,Waterfall / Eco-Tourism Spot,nan,9:00 AM – 5:00 PM,₹20 per person,June – November,Bhadrachalam Road Railway Station,Mulugu Bus Stand,Rajiv Gandhi International Airport,No metro available,Requires short trek through forest trail; not wheelchair friendly,Local eco-tourism volunteers guide visitors,Available – ₹20–40,"Food stalls, forest rest houses, eco-huts", (Telangana Tourism mentions),https://en.wikipedia.org/wiki/Bogatha_Waterfall,"Called “Niagara of Telangana”; less crowded, serene forest location.",telangana_tourist_places.csv
Telangana,TS,Nagarjuna Sagar Dam & Ethipothala Waterfalls,Dam / Reservoir / Waterfall / Historical Site,nan,9:00 AM – 6:00 PM,Dam view free; boating ₹30–150; Ethipothala Falls entry ₹20,July – February,Macherla Railway Station,Nagarjuna Sagar Bus Stand,Rajiv Gandhi International Airport,No metro available,Roads in good condition; limited wheelchair access near dam area,Boating guides available; history guides in Nagarjuna Konda museum,Available – ₹30–50,"Resorts, restaurants, shops, restrooms",Telangana Tourism – Nagarjuna Sagar,https://en.wikipedia.org/wiki/Nagarjuna_Sagar_Dam,One of world’s largest masonry dams; nearby Buddhist site Nagarjuna Konda.,telangana_tourist_places.csv
Telangana,TS,Ananthagiri Hills,Hill Station / Trekking / Forest Reserve,nan,Open all day (temple 6:00 AM – 8:00 PM),Free; trekking and camping packages priced separately,July – October; November – February,Vikarabad Railway Station,Vikarabad Bus Stand,Rajiv Gandhi International Airport,No metro available,Hill roads motorable; trekking moderate difficulty; not wheelchair friendly,Trekking guides and camping tours available,Available – ₹20–30,"Resorts, campsites, forest rest houses, food stalls",Telangana Tourism – Ananthagiri Hills,https://en.wikipedia.org/wiki/Ananthagiri_Hills,Birthplace of Musi River; popular weekend getaway from Hyderabad.,telangana_tourist_places.csv
Telangana,TS,Yadadri (Yadagirigutta) Lakshmi Narasimha Temple,Hindu Temple / Pilgrimage Site,nan,4:00 AM – 9:30 PM (varies by rituals),Free; special darshan ₹30–300,October – March,Raigiri Railway Station,Yadagirigutta Bus Stand,Rajiv Gandhi International Airport,No metro available,Hilltop temple; ropeway and escalators available; wheelchair friendly zones,Temple priests & local guides available,Large multi-level parking – ₹30–100,"Guest houses, hotels, restaurants, shops",Yadadri Temple Official,https://en.wikipedia.org/wiki/Yadagirigutta_Temple,Recently renovated into a grand temple complex; major Vaishnavite shrine.,telangana_tourist_places.csv
Telangana,TS,Medak Cathedral,Church / Historical Monument,nan,7:00 AM – 6:00 PM (Daily),Free,December (Christmas celebrations) & October – March,Kamareddy Railway Station,Medak Bus Stand,Rajiv Gandhi International Airport,No metro available,Wheelchair accessible in main areas,Volunteers explain church history,Available – ₹20–30,"Cafes, restrooms, small shops",Medak Cathedral Diocese,https://en.wikipedia.org/wiki/Medak_Cathedral,"Largest church in Asia by capacity (5,000 people); neo-Gothic architecture with stained-glass windows.",telangana_tourist_places.csv
Telangana,TS,Bhongir Fort,Historical Fort / Trekking Spot,nan,10:00 AM – 5:00 PM,"₹10 (Indians), ₹100 (Foreigners)",October – February,Bhongir Railway Station,Bhongir Bus Stand,Rajiv Gandhi International Airport,No metro available,Steep rock climb (~500 steps); not wheelchair friendly,Local guides explain fort’s Chalukyan history,Available – ₹20,"Local eateries, restrooms near base",Telangana Tourism – Bhongir Fort,https://en.wikipedia.org/wiki/Bhongir_Fort,Built in 10th century by Western Chalukyas; offers panoramic views.,telangana_tourist_places.csv
Telangana,TS,Basar Saraswati Temple,Hindu Temple / Pilgrimage Site,nan,5:30 AM – 9:00 PM,Free,January – March (Utsav season),Basar Railway Station,Basar Bus Stand,Rajiv Gandhi International Airport,No metro available,Temple area mostly accessible; steps inside main sanctum,Local guides and priests explain rituals,Available – ₹20–30,"Lodging, small eateries, shops for religious items",Basar Temple Official,"https://en.wikipedia.org/wiki/Gnana_Saraswati_Temple,_Basar",Famous for Akshara Abhyasam (child education initiation ceremony); located on Godavari riverbank.,telangana_tourist_places.csv
Telangana,TS,Pocharam Wildlife Sanctuary,Wildlife Sanctuary / Eco-Tourism,nan,6:00 AM – 6:00 PM,₹50 per person (approx),October – March,Nizamabad Railway Station,Nizamabad Bus Stand,Rajiv Gandhi International Airport,No metro available,Forest roads; some trekking paths; not fully wheelchair friendly,Forest department guided safaris available,Parking at sanctuary entrance – ₹20–30,Limited local eateries; basic restrooms, (Telangana Forest Dept mentions),https://en.wikipedia.org/wiki/Pocharam_Wildlife_Sanctuary,"Habitat for blackbuck, wild boar, peafowl; also boating on Pocharam Lake.",telangana_tourist_places.csv
Telangana,TS,Nehru Zoological Park,Zoo / Urban Wildlife Park,nan,8:30 AM – 5:30 PM (Daily),"₹50 (Adults), ₹30 (Children); Safari ₹80–150",October – March,Hyderabad Deccan,Zoo Park Bus Stop,Rajiv Gandhi International Airport,Malakpet Metro,Wheelchair friendly in main pathways; safari vehicles available,Guided safari and zoo information available in English/Telugu/Hindi,Large parking facility – ₹50–100,"Cafes, restaurants, souvenir shops, restrooms",Nehru Zoological Park,https://en.wikipedia.org/wiki/Nehru_Zoological_Park,"One of India’s largest zoos; houses lions, tigers, elephants, reptiles, and bird species.",telangana_tourist_places.csv
Telangana,TS,Sri Rama Chandra Temple,Temple / Pilgrimage Site,nan,4:00 AM – 9:00 PM,Free,"March – April (Rama Navami festival), October – February",Bhadrachalam Road Railway Station,Bhadrachalam Bus Stand,Rajiv Gandhi International Airport,No metro available,Temple complex mostly accessible; main sanctum has steps,Local guides available; priests provide explanations,Available – ₹20–50,"Lodging, restaurants, shops for offerings",Bhadrachalam Temple,https://en.wikipedia.org/wiki/Bhadrachalam_Temple,Famous Lord Rama temple on Godavari River; vibrant festivals and boat processions.,telangana_tourist_places.csv
